,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6130,60.74815273,-43.59782894,6058,5,6958,12,,,,,,,,,,,,,,
2827,63.22289496,-67.83726067,6328,13,7143,15,3678,5,,,,,,,,,,,,
6361,46.99094232,-54.2889847,2668,9,520,8,,,,,,,,,,,,,,
1612,20.06087528,-75.20468532,4341,6,4529,10,2319,12,5090,5,,,,,,,,,,
8678,64.8048989,-83.589731,7030,8,6655,10,328,9,433,6,3397,13,7624,15,3325,5,,,,
261,19.07870442,-87.67942258,4232,6,,,,,,,,,,,,,,,,
7939,19.22805251,-87.61323998,5992,11,6363,14,8145,8,,,,,,,,,,,,
8955,19.42422267,-87.54849839,2086,13,924,8,8716,15,3647,15,4376,12,3045,15,2881,5,,,,
2747,19.5766082,-87.50560658,1223,8,7721,12,6824,14,4006,7,4190,9,6897,9,8264,6,1548,14,946,11
6771,19.68505916,-87.47518308,4571,13,4233,14,2883,11,4512,15,,,,,,,,,,
9177,19.7618058,-87.45238216,7994,15,1615,9,6858,13,9339,5,9020,7,7600,12,2488,6,,,,
2343,19.81606646,-87.43514295,5408,13,2363,11,5846,6,1098,14,,,,,,,,,,
4310,19.86397008,-87.41891896,1269,9,6604,9,6657,5,8488,9,5417,8,,,,,,,,
1412,19.92874519,-87.39553239,4378,12,463,8,1564,10,,,,,,,,,,,,
5355,20.01958111,-87.36043225,2036,7,,,,,,,,,,,,,,,,
2740,20.14623196,-87.3084658,917,10,7139,13,8089,10,9338,5,8486,10,,,,,,,,
4807,20.31644784,-87.23702708,463,11,6181,15,7911,11,9198,9,1660,12,5995,12,2155,8,6556,12,5090,6
2929,20.45794398,-87.18028258,8105,7,6882,6,1785,12,2279,12,1759,12,4577,7,,,,,,
1923,20.55971397,-87.14304615,6261,6,,,,,,,,,,,,,,,,
1941,20.63270761,-87.11895431,6930,6,,,,,,,,,,,,,,,,
689,20.69065321,-87.10169299,7329,13,5250,13,4408,12,,,,,,,,,,,,
4240,20.76571456,-87.08204619,7343,9,6877,5,3507,12,4571,14,5900,12,4465,6,1487,13,2745,15,3046,14
463,20.87260935,-87.05992202,4807,11,566,7,1412,8,2107,13,7328,9,6281,8,,,,,,
