,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
382,20.06087528,-75.20468532,1396,15,1321,10,1596,8,1054,7,1175,10,,,,,,,,
1309,18.27725192,-70.33603382,774,14,137,12,1549,8,,,,,,,,,,,,
583,15.11197549,-83.44033382,1790,12,743,7,1715,10,834,11,,,,,,,,,,
1845,15.21592749,-83.51317345,767,14,1391,10,498,13,,,,,,,,,,,,
502,15.33271474,-83.62251777,1311,10,424,11,743,7,1596,6,562,7,1611,6,,,,,,
882,15.46116054,-83.78397525,1117,8,428,12,191,8,,,,,,,,,,,,
864,15.54654054,-83.92009901,1241,9,1790,13,1715,11,424,12,50,10,,,,,,,,
110,15.60111125,-84.02091443,1908,6,1072,6,,,,,,,,,,,,,,
434,15.63721777,-84.0939511,1715,14,342,5,1117,10,,,,,,,,,,,,
217,15.66176531,-84.1465548,846,12,1248,10,,,,,,,,,,,,,,
424,15.67869281,-84.18422125,502,11,864,12,1321,10,1391,10,,,,,,,,,,
1027,15.69423482,-84.21980565,1438,15,615,12,342,9,1469,11,486,14,1441,9,1716,5,1072,6,,
18,15.71521036,-84.26944707,1311,8,1072,12,674,10,1666,12,1001,11,,,,,,,,
90,15.7435638,-84.33983004,591,13,50,8,43,12,1445,15,1458,14,743,8,774,13,562,14,,
1908,15.78113097,-84.43987788,110,6,428,14,498,5,,,,,,,,,,,,
428,15.82923106,-84.58232917,882,12,1908,14,1611,6,486,13,1502,12,774,11,,,,,,
1611,15.87760809,-84.74856888,502,6,428,6,312,13,1599,15,,,,,,,,,,
1438,15.9080666,-84.87110802,1027,15,1054,13,1782,13,486,13,,,,,,,,,,
50,15.92719998,-84.95876885,864,10,90,8,1596,5,49,13,591,6,,,,,,,,
587,15.93953001,-85.02140484,1736,15,188,7,792,7,413,5,1241,15,1396,7,,,,,,
550,15.94764673,-85.06608391,112,11,1716,8,,,,,,,,,,,,,,
1108,15.95452153,-85.10660628,1742,8,503,6,96,14,1965,5,,,,,,,,,,
