,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
986,30.70165737,31.6050909,957,7,275,11,129,13,674,12,,,,,,,,,,
77,8.832785913,-80.87265882,260,10,425,13,476,6,,,,,,,,,,,,
885,60.74815273,-43.59782894,955,7,866,12,548,5,780,10,,,,,,,,,,
26,63.22289496,-67.83726067,161,5,210,11,530,9,,,,,,,,,,,,
651,51.94391808,0.666999747,589,15,248,6,866,13,129,14,28,11,501,12,,,,,,
430,46.99094232,-54.2889847,82,8,85,13,337,15,,,,,,,,,,,,
692,20.06087528,-75.20468532,737,11,955,15,548,15,248,6,890,11,,,,,,,,
158,63.80468093,-16.98672617,525,5,710,11,,,,,,,,,,,,,,
735,52.23130755,-7.01660554,548,5,113,14,82,10,,,,,,,,,,,,
144,18.27725192,-70.33603382,977,9,254,14,,,,,,,,,,,,,,
248,64.8048989,-83.589731,275,13,651,6,692,6,210,12,,,,,,,,,,
81,39.50032865,9.393928094,388,10,287,13,113,8,467,10,183,13,52,7,151,10,710,15,,
768,64.36653935,35.97016129,589,8,710,11,124,10,365,5,982,7,,,,,,,,
684,64.43253344,35.82606658,843,7,890,13,455,6,818,6,721,15,866,5,260,11,28,9,,
525,64.53041465,35.63604644,158,5,85,14,530,7,,,,,,,,,,,,
85,64.67298085,35.3961987,501,8,183,14,83,8,525,14,430,13,260,7,,,,,,
501,64.8055848,35.19926902,85,8,72,14,830,12,651,12,,,,,,,,,,
388,64.90141263,35.06714267,81,10,674,8,782,15,183,12,,,,,,,,,,
890,64.97022372,34.9759198,129,6,671,8,684,13,843,9,692,11,,,,,,,,
964,64.96735064,11.49470913,826,10,252,13,560,10,971,7,737,6,957,13,,,,,,
71,64.91311831,11.4053551,363,11,151,8,,,,,,,,,,,,,,
958,64.87455488,11.34174975,547,12,149,11,943,11,614,10,,,,,,,,,,
818,64.84711413,11.29654325,198,10,287,12,684,6,28,14,151,10,3,10,,,,,,
959,64.82765186,11.26453881,337,15,551,15,914,15,560,6,381,14,210,11,942,7,,,,
252,64.8137733,11.24175702,964,13,522,14,826,7,285,15,,,,,,,,,,
129,64.80391101,11.22559251,890,6,651,14,425,9,986,13,731,8,955,9,674,5,,,,
