,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8377,60.74815273,-43.59782894,3674,13,6560,11,3153,5,8054,15,9825,13,1541,6,5563,10,9416,11,,
4050,63.22289496,-67.83726067,1320,12,7443,6,7281,11,,,,,,,,,,,,
1088,46.99094232,-54.2889847,9022,8,8434,15,7417,10,6021,14,,,,,,,,,,
8690,20.06087528,-75.20468532,4394,14,6692,15,924,8,,,,,,,,,,,,
7658,64.8048989,-83.589731,9769,14,2158,9,8434,14,3153,15,672,14,3621,12,,,,,,
6790,19.07870442,-87.67942258,1225,9,6174,5,1114,11,,,,,,,,,,,,
6233,19.22805251,-87.61323998,8978,11,9022,7,7417,6,2158,10,378,9,,,,,,,,
7915,19.42422267,-87.54849839,9889,9,865,11,,,,,,,,,,,,,,
925,19.5766082,-87.50560658,7417,11,5606,5,1225,8,,,,,,,,,,,,
3409,19.68505916,-87.47518308,9675,13,4645,9,,,,,,,,,,,,,,
2158,19.7618058,-87.45238216,7658,9,6233,10,6560,8,6692,10,,,,,,,,,,
2278,19.81606646,-87.43514295,7500,14,9926,14,5606,6,5246,9,8182,10,3667,14,7873,9,865,5,,
9763,19.86397008,-87.41891896,9769,6,865,9,6258,7,6608,11,5007,10,,,,,,,,
78,19.92874519,-87.39553239,6929,6,378,11,5667,13,1984,5,8407,10,8434,9,1320,15,672,7,,
9889,20.01958111,-87.36043225,7915,9,6174,7,924,14,,,,,,,,,,,,
6174,20.14623196,-87.3084658,6790,5,9889,7,3621,14,8182,15,5535,9,1320,9,,,,,,
3621,20.31644784,-87.23702708,7658,12,6174,14,9161,12,8832,7,,,,,,,,,,
7500,20.45794398,-87.18028258,2278,14,8054,11,61,13,8182,5,,,,,,,,,,
378,20.55971397,-87.14304615,6233,9,78,11,3153,9,2109,13,6929,15,,,,,,,,
116,20.63270761,-87.11895431,5175,15,7895,14,9909,14,7824,7,8978,8,3674,5,,,,,,
2599,20.69065321,-87.10169299,2633,9,7873,8,,,,,,,,,,,,,,
7188,20.76571456,-87.08204619,4294,7,9322,12,6543,8,867,11,,,,,,,,,,
1984,20.87260935,-87.05992202,78,5,8465,7,9926,15,672,5,7873,5,3008,12,,,,,,
8533,21.02454158,-87.04283398,1114,9,8563,14,7258,14,9909,11,2277,9,6692,8,3369,15,,,,
7895,21.23772671,-87.06146941,116,14,842,15,5175,12,5230,9,,,,,,,,,,
3153,21.43464784,-87.18159382,8377,5,7658,15,378,9,7443,7,8291,13,9022,5,8054,5,,,,
4891,21.53576962,-87.40403551,9022,13,,,,,,,,,,,,,,,,
4394,21.56331178,-87.59175005,8690,14,8465,9,7281,13,9022,6,4118,13,,,,,,,,
6021,21.56803591,-87.72679459,1088,14,9769,14,,,,,,,,,,,,,,
9675,21.5662041,-87.82269747,3409,13,,,,,,,,,,,,,,,,
4118,21.56282532,-87.8908182,4394,13,3674,9,,,,,,,,,,,,,,
7417,21.55948584,-87.93970245,1088,10,6233,6,925,11,3008,13,6468,8,5007,14,,,,,,
8434,21.55526568,-87.99074125,1088,15,7658,14,78,9,3667,15,,,,,,,,,,
3674,21.54818514,-88.06225736,8377,13,116,5,4118,9,5175,6,8182,14,2109,13,,,,,,
3263,21.53618812,-88.16251993,9909,9,7873,8,9926,15,,,,,,,,,,,,
61,21.51591924,-88.30312952,7500,13,,,,,,,,,,,,,,,,
6904,21.48706355,-88.47478763,6692,13,865,13,,,,,,,,,,,,,,
3339,21.46357188,-88.60319377,7873,13,3667,6,8832,15,7918,9,,,,,,,,,,
8182,21.44641046,-88.6942651,2278,10,6174,15,7500,5,3674,14,6475,13,1561,9,1320,10,9748,5,,
2277,21.43413914,-88.75900362,8533,9,,,,,,,,,,,,,,,,
9161,21.42542884,-88.80510574,3621,12,6423,8,924,11,,,,,,,,,,,,
5606,21.41927869,-88.83785684,925,5,2278,6,5230,9,9022,9,1225,13,,,,,,,,
9022,21.41493615,-88.86112767,1088,8,6233,7,3153,5,4891,13,4394,6,5606,9,7443,15,,,,
6560,21.41186763,-88.87766132,8377,11,2158,8,5142,14,6929,10,9322,7,,,,,,,,
865,21.40953435,-88.89029046,7915,11,2278,5,9763,9,6904,13,9769,5,8291,15,8368,9,,,,
7824,21.40665924,-88.90591915,116,7,8291,7,,,,,,,,,,,,,,
1320,21.40263024,-88.92791861,4050,12,78,15,6174,9,8182,10,6543,15,4645,11,,,,,,
2109,21.39698008,-88.95888817,378,13,3674,13,,,,,,,,,,,,,,
8291,21.3890342,-89.00245865,3153,13,865,15,7824,7,5175,10,6468,7,7443,13,,,,,,
6258,21.37776858,-89.06366227,9763,7,,,,,,,,,,,,,,,,
5667,21.36141345,-89.14970714,78,13,3667,8,1225,8,,,,,,,,,,,,
6543,21.33659842,-89.2702046,7188,8,1320,15,1561,6,9909,15,8368,8,,,,,,,,
8832,21.29560562,-89.43812014,3621,7,3339,15,,,,,,,,,,,,,,
5277,21.2379199,-89.61851836,9909,9,5535,7,9322,13,,,,,,,,,,,,
5535,21.18534033,-89.74340087,6174,9,5277,7,3369,12,8054,12,,,,,,,,,,
1225,21.13495148,-89.83946408,6790,9,925,8,5606,13,5667,8,5230,13,7918,7,1114,11,,,,
4645,21.05874732,-89.95713015,3409,9,1320,11,2028,5,,,,,,,,,,,,
7296,20.93332014,-90.10808162,6929,7,8407,15,5175,15,5246,7,,,,,,,,,,
3667,20.78430115,-90.24541852,2278,14,8434,15,3339,6,5667,8,8465,15,,,,,,,,
9322,20.66853839,-90.33069663,7188,12,6560,7,5277,13,,,,,,,,,,,,
5142,20.5824757,-90.38460671,6560,14,7918,7,8465,8,8978,15,,,,,,,,,,
672,20.51423604,-90.42236354,7658,14,78,7,1984,5,1561,8,7918,9,,,,,,,,
8978,20.42675173,-90.46537549,6233,11,116,8,5142,15,7281,9,,,,,,,,,,
5230,20.30113737,-90.51954357,7895,9,5606,9,1225,13,924,14,,,,,,,,,,
8465,20.12358154,-90.5876891,1984,7,4394,9,3667,15,5142,8,,,,,,,,,,
9909,19.96217496,-90.64809851,116,14,8533,11,3263,9,6543,15,5277,9,,,,,,,,
9769,19.8482967,-90.69355293,7658,14,9763,6,6021,14,865,5,842,7,6608,11,7281,14,,,,
6468,19.76833651,-90.72839597,7417,8,8291,7,9748,11,8407,5,8054,12,1561,13,,,,,,
6929,19.71001086,-90.75596713,78,6,378,15,6560,10,7296,7,979,9,8368,10,,,,,,
5175,19.642743,-90.79050549,116,15,7895,12,3674,6,8291,10,7296,15,4294,8,,,,,,
7258,19.55021285,-90.84333301,8533,14,,,,,,,,,,,,,,,,
979,19.42477806,-90.92637422,6929,9,6475,15,8368,15,,,,,,,,,,,,
5246,19.26579506,-91.05599785,2278,9,7296,7,,,,,,,,,,,,,,
9926,19.14397014,-91.18179766,2278,14,1984,15,3263,15,6873,13,,,,,,,,,,
6423,19.06651015,-91.28006154,9161,8,8563,15,2633,9,,,,,,,,,,,,
8054,19.00796539,-91.36852987,8377,15,7500,11,3153,5,5535,12,6468,12,7873,8,8368,6,3325,6,8407,10
842,19.10716165,-96.05690444,7895,15,9769,7,6692,7,2028,14,,,,,,,,,,
6608,19.21729905,-96.13979746,9763,11,9769,11,,,,,,,,,,,,,,
3325,19.29775816,-96.19540017,8054,6,6475,11,7281,6,,,,,,,,,,,,
9748,19.35559301,-96.23367687,8182,5,6468,11,,,,,,,,,,,,,,
3369,19.3969804,-96.26046557,8533,15,5535,12,6475,8,6692,15,7281,7,,,,,,,,
8368,19.42655216,-96.27938523,865,9,6543,8,6929,10,979,15,8054,6,,,,,,,,
3008,19.44756015,-96.29274347,1984,12,7417,13,,,,,,,,,,,,,,
6692,19.46251391,-96.30222066,8690,15,2158,10,8533,8,6904,13,842,7,3369,15,4294,9,,,,
1114,19.47315615,-96.30895312,6790,11,8533,9,1225,11,2028,5,,,,,,,,,,
7873,19.48071671,-96.31373118,2278,9,2599,8,1984,5,3263,8,3339,13,8054,8,,,,,,
7281,19.48610796,-96.3171363,4050,11,4394,13,8978,9,9769,14,3325,6,3369,7,5007,9,2633,11,,
2633,19.49126585,-96.32039271,2599,9,6423,9,7281,11,,,,,,,,,,,,
7443,19.49844504,-96.32492324,4050,6,3153,7,9022,15,8291,13,7918,8,924,11,,,,,,
7918,19.50854649,-96.33129405,3339,9,1225,7,5142,7,672,9,7443,8,2028,13,,,,,,
2028,19.52274421,-96.34024107,4645,5,842,14,1114,5,7918,13,8407,5,,,,,,,,
8407,19.542729,-96.35282163,78,10,7296,15,6468,5,8054,10,2028,5,6873,14,,,,,,
4294,19.57088108,-96.37051995,7188,7,5175,8,6692,9,,,,,,,,,,,,
5007,19.61046955,-96.39536909,9763,10,7417,14,7281,9,,,,,,,,,,,,
8563,19.66623015,-96.43031397,8533,14,6423,15,,,,,,,,,,,,,,
